Site,Rating,Review Title,Review Date,Review Paragraph
https://www.tripadvisor.in/Restaurant_Review-g304551-d13388460-Reviews-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,5.0,Great Indian Food For a Cause,11 March 2020,"This place is swarming with Gadventurers and CEOs and the food is quite good, especially their garlic naan, my favorite.  Almost all their dishes are exceptionally good.  Came here three times and tried different dishes on the menu....never disappointed."
https://www.tripadvisor.in/Restaurant_Review-g304551-d13388460-Reviews-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,5.0,Dinner ,11 March 2020,Visited about a week ago and we  were very impressed with the food service and gereral ambience of this very clean and slick restaurant. It is well worth a visit if in the area and prices are good. We will be returning soon.
https://www.tripadvisor.in/Restaurant_Review-g304551-d13388460-Reviews-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,5.0,Kitchen with a Cause - FANTASTIC ,2 March 2020,I enjoyed a fantastic meal at KWAC thanks to Brikash Sharma our excellent guide while spending sometime in New Delhi recently. We were a table of 15+ South Africans so appreciated the giving back ethos of supporting the under privileged and street people. My meal...
https://www.tripadvisor.in/Restaurant_Review-g304551-d13388460-Reviews-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,5.0,Intrepid Tour experience,25 February 2020,"This is a lovely hidden gem in Karol Bagh, walking distance from the metro. The restaurant is beautiful with great food at reasonable prices. The staff is friendly & competent also goes the extra mile if you want to celebrate a birthday or get together...."
https://www.tripadvisor.in/Restaurant_Review-g304551-d13388460-Reviews-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,5.0,Great restaurant!,23 February 2020,"The restaurant is a social project, so 5 stars just for it. Talking about the restaurant:
- Food: wide variety of Indian dishes
- Service: super kind and fast
- Quality: very good (although some dishes are interpreted in the wrong way, the springs rolls..."
https://www.tripadvisor.in/Restaurant_Review-g304551-d13388460-Reviews-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,5.0,Delicious eats,15 February 2020,I really loved this restaurant. I visited twice as part of a Gadventures tour then went back one my own after my tour had finished.  The food on all three occasions was so delicious. I enjoyed the chicken lababdar and the tikka paneer. All of...
https://www.tripadvisor.in/Restaurant_Review-g304551-d13388460-Reviews-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,5.0,Amazing place!,11 February 2020,"This is an absolute hidden gem! The place is really well decorated, modern but simple. The food is outstanding, and service is great. The idea behind the restaurant is equally as impressive - to teach young adults the skills to go out into the hospitality..."
https://www.tripadvisor.in/Restaurant_Review-g304551-d13388460-Reviews-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,5.0,"Really good menu, tasty food",27 January 2020,"Really good menu, tasty food and great service. When staying in Karol Bagh make sure you stop here for a lovely meal."
https://www.tripadvisor.in/Restaurant_Review-g304551-d13388460-Reviews-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,5.0,Great choice of dishes in lovely environment ,22 January 2020,Excellent menu with both vegetarian and meat choices. Pleasant environment and good service. All meals were tasty with good portion sizes. Would highly recommend supporting this worthwhile enterprise.
https://www.tripadvisor.in/Restaurant_Review-g304551-d13388460-Reviews-Kitchen_With_A_Cause-New_Delhi_National_Capital_Territory_of_Delhi.html,5.0,Great food and service,21 January 2020,Enjoyed 2 meals here during my stay in New Delhi. Menu has great variety of food and drinks. Very clean. Great service.
